ts,seq,cmd_type,relay_rtt_ms,authority
182.245,3525,speedl,51,operator
182.261,3526,speedl,51,operator
182.282,3527,speedl,51,operator
182.301,3528,speedl,51,operator
182.322,3529,speedl,51,operator
182.341,3530,speedl,51,operator
182.361,3531,speedl,51,operator
182.382,3532,speedl,51,operator
182.401,3533,speedl,39,operator
182.422,3534,speedl,39,operator
182.442,3535,speedl,39,operator
182.462,3536,speedl,39,operator
182.481,3537,speedl,39,operator
182.501,3538,speedl,39,operator
182.523,3539,speedl,39,operator
182.544,3540,speedl,39,operator
182.562,3541,speedl,39,operator
182.582,3542,speedl,39,operator
182.602,3543,speedl,39,operator
182.622,3544,speedl,39,operator
182.644,3545,speedl,38,operator
182.662,3546,speedl,38,operator
182.681,3547,speedl,38,operator
182.703,3548,speedl,38,operator
182.722,3549,speedl,38,operator
182.741,3550,speedl,38,operator
182.762,3551,speedl,38,operator
182.782,3552,speedl,38,operator
182.801,3553,speedl,38,operator
182.821,3554,speedl,38,operator
182.842,3555,speedl,38,operator
182.861,3556,speedl,38,operator
182.881,3557,speedl,34,operator
182.901,3558,speedl,34,operator
182.922,3559,speedl,34,operator
182.942,3560,speedl,34,operator
182.962,3561,speedl,34,operator
182.982,3562,speedl,34,operator
183.001,3563,speedl,34,operator
183.022,3564,speedl,34,operator
183.044,3565,speedl,34,operator
183.061,3566,speedl,34,operator
183.082,3567,speedl,34,operator
183.102,3568,speedl,34,operator
183.122,3569,speedl,34,operator
183.142,3570,speedl,34,operator
183.161,3571,speedl,34,operator
183.181,3572,speedl,34,operator
183.201,3573,speedl,145,operator
183.222,3574,speedl,145,operator
183.242,3575,speedl,145,operator
183.262,3576,speedl,145,operator
183.283,3577,speedl,145,operator
183.301,3578,speedl,145,operator
183.322,3579,speedl,145,operator
183.344,3580,speedl,145,operator
183.361,3581,speedl,145,operator
183.381,3582,speedl,145,operator
183.402,3583,speedl,145,operator
183.421,3584,speedl,145,operator
183.442,3585,speedl,82,operator
183.462,3586,speedl,82,operator
183.482,3587,speedl,82,operator
183.501,3588,speedl,82,operator
183.522,3589,speedl,82,operator
183.542,3590,speedl,82,operator
183.561,3591,speedl,82,operator
183.583,3592,speedl,82,operator
183.601,3593,speedl,82,operator
183.621,3594,speedl,82,operator
183.644,3595,speedl,47,operator
183.661,3596,speedl,47,operator
183.682,3597,speedl,47,operator
183.703,3598,speedl,47,operator
183.721,3599,speedl,47,operator
183.742,3600,speedl,47,operator
183.761,3601,speedl,47,operator
183.782,3602,speedl,47,operator
183.802,3603,speedl,47,operator
183.821,3604,speedl,47,operator
183.842,3605,speedl,47,operator
183.861,3606,speedl,47,operator
183.882,3607,speedl,47,operator
183.902,3608,speedl,44,operator
183.922,3609,speedl,44,operator
183.942,3610,speedl,44,operator
183.961,3611,speedl,44,operator
183.982,3612,speedl,44,operator
184.002,3613,speedl,44,operator
184.022,3614,speedl,44,operator
184.041,3615,speedl,44,operator
184.061,3616,speedl,44,operator
184.082,3617,speedl,44,operator
184.101,3618,speedl,44,operator
184.121,3619,speedl,44,operator
184.144,3620,speedl,36,operator
184.162,3621,speedl,36,operator
184.182,3622,speedl,36,operator
184.202,3623,speedl,36,operator
184.222,3624,speedl,36,operator
184.241,3625,speedl,36,operator
184.251,3626,speedl_stop,36,operator
184.251,3627,speedl_stop,36,operator
184.261,3628,speedl_stop,36,operator
184.282,3629,speedl_stop,36,operator
184.301,3630,speedl_stop,36,operator
184.321,3631,speedl_stop,36,operator
184.343,3632,speedl_stop,36,operator
184.361,3633,speedl_stop,36,operator
184.382,3634,speedl_stop,36,operator
184.401,3635,speedl_stop,46,operator
184.422,3636,speedl_stop,46,operator
184.442,3637,speedl_stop,46,operator
184.461,3638,speedl_stop,46,operator
184.481,3639,speedl_stop,46,operator
184.503,3640,speedl_stop,46,operator
184.522,3641,speedl_stop,46,operator
184.542,3642,speedl_stop,46,operator
184.562,3643,speedl_stop,46,operator
184.582,3644,speedl_stop,46,operator
184.601,3645,speedl_stop,46,operator
184.621,3646,speedl_stop,46,operator
184.641,3647,speedl_stop,29,operator
184.662,3648,speedl_stop,29,operator
184.682,3649,speedl_stop,29,operator
184.702,3650,speedl_stop,29,operator
184.723,3651,speedl_stop,29,operator
184.742,3652,speedl_stop,29,operator
184.761,3653,speedl_stop,29,operator
184.781,3654,speedl_stop,29,operator
184.802,3655,speedl_stop,29,operator
184.822,3656,speedl_stop,29,operator
184.844,3657,speedl_stop,29,operator
184.862,3658,speedl_stop,29,operator
184.882,3659,speedl_stop,31,operator
184.903,3660,speedl_stop,31,operator
184.922,3661,speedl_stop,31,operator
184.942,3662,speedl_stop,31,operator
184.962,3663,speedl_stop,31,operator
184.981,3664,speedl_stop,31,operator
185.002,3665,speedl_stop,31,operator
185.022,3666,speedl_stop,31,operator
185.028,3667,speedl_stop,31,operator
189.714,3668,speedl,38,operator
189.734,3669,speedl,38,operator
189.754,3670,speedl,38,operator
189.774,3671,speedl,38,operator
189.796,3672,speedl,38,operator
189.896,3673,speedl,28,operator
189.914,3674,speedl,28,operator
189.934,3675,speedl,28,operator
189.954,3676,speedl,28,operator
189.974,3677,speedl,28,operator
189.998,3678,speedl,28,operator
190.014,3679,speedl,28,operator
190.033,3680,speedl,28,operator
190.053,3681,speedl,28,operator
190.074,3682,speedl,28,operator
190.096,3683,speedl,28,operator
190.113,3684,speedl,28,operator
190.133,3685,speedl,34,operator
190.154,3686,speedl,34,operator
190.174,3687,speedl,34,operator
190.195,3688,speedl,34,operator
190.214,3689,speedl,34,operator
190.234,3690,speedl,34,operator
190.254,3691,speedl,34,operator
190.274,3692,speedl,34,operator
190.295,3693,speedl,34,operator
190.314,3694,speedl,34,operator
190.334,3695,speedl,34,operator
190.354,3696,speedl,34,operator
190.374,3697,speedl,34,operator
190.394,3698,speedl,23,operator
190.415,3699,speedl,23,operator
190.436,3700,speedl,23,operator
190.453,3701,speedl,23,operator
190.474,3702,speedl,23,operator
190.494,3703,speedl,23,operator
190.514,3704,speedl,23,operator
