ts,t_ms,q0,q1,q2,q3,q4,q5,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,role,authority
"2026-05-19T13:23:50.915Z","1779197030915","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:51.135Z","1779197031135","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:51.407Z","1779197031407","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:51.652Z","1779197031652","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:51.928Z","1779197031928","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:52.152Z","1779197032152","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:52.396Z","1779197032396","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:52.612Z","1779197032612","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:52.835Z","1779197032835","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:53.252Z","1779197033252","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:53.491Z","1779197033491","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:53.706Z","1779197033706","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:53.906Z","1779197033906","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:54.193Z","1779197034193","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:54.485Z","1779197034485","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:54.779Z","1779197034779","0.6124750971794128","-2.005833765069479","-1.772636890411377","-0.9863044184497376","-4.682893816624777","6.025017738342285","35.09223812524531","-114.92580914331663","-101.56461242976613","-56.51108049227505","-268.3100516005098","345.2080878984695","guest","operator"
"2026-05-19T13:23:55.076Z","1779197035076","0.7598133087158203","-2.4026628933348597","-1.0889225006103516","-1.2689724129489441","-4.675387446080343","6.171616554260254","43.534095807287194","-137.66244338077857","-62.39066350180495","-72.70676358050675","-267.87996824885244","353.6075813321844","guest","operator"
